OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
165,31,42.349089999999997,-71.094989999999996,1,171.689999999999998,Charles River Reservation,8770,5.727426415892054,7.730624059110585,4.613871019926663
166,32,42.348570000000002,-71.140150000000006,1,0.350383990000000,Commonwealth Tenants Association CG,8360,0.099199922573560,0.133864776189684,0.079895212229968
167,32,42.348570000000002,-71.140150000000006,1,1.430000000000000,Brighton HS Hillside,8404,0.511724839937408,0.688989780226820,0.411213362337381
168,32,42.348570000000002,-71.140150000000006,1,2.210543140000000,Kennedy Rock,7825,0.801623864681772,1.081836285359218,0.645677989961902
169,32,42.348570000000002,-71.140150000000006,1,5.104860270000000,Fidelis Way Park,8799,5.104861183045106,6.616717649472021,3.949090088652327
170,32,42.348570000000002,-71.140150000000006,1,5.527804080000000,Commonwealth Avenue Outbound,8175,2.111596195986711,2.849500979228550,1.700682524298810
171,32,42.348570000000002,-71.140150000000006,1,10.255854940000001,Ringer Playground,7824,9.555130290818523,12.903140905597478,7.701048852650589
172,33,42.346359999999997,-71.090950000000007,0,0.108116400000000,Edgerly Road Playground,7927,0.108116358650541,0.166238828033510,0.099220624167483
173,33,42.346359999999997,-71.090950000000007,0,0.297886150000000,Symphony Road Garden,7928,0.150916233863907,0.203644546756462,0.121546447821488
174,33,42.346359999999997,-71.090950000000007,0,0.496795930000000,Symphony Community Park,7926,0.496795940800783,0.644459755960017,0.384649603185889
175,33,42.346359999999997,-71.090950000000007,0,0.600000000000000,Agassiz Road,8514,0.377348393924187,0.512613689114315,0.305956501212015
176,33,42.346359999999997,-71.090950000000007,0,0.620000000000000,Boylston Street I,8519,0.620012642310334,0.832392068474193,0.496818111406701
177,33,42.346359999999997,-71.090950000000007,0,0.770000000000000,The Fenway II,8521,0.427863508722154,0.576251871229791,0.343939325231375
178,33,42.346359999999997,-71.090950000000007,0,0.840000000000000,Fire Alarm House Grounds,8524,0.840000711693540,1.139525714447198,0.680132637963238
179,33,42.346359999999997,-71.090950000000007,0,0.980000000000000,Commonwealth Avenue Mall II,7931,0.659009144972171,0.881108002684736,0.525894503826274
180,33,42.346359999999997,-71.090950000000007,0,1.490000000000000,Charlesgate II,8510,1.398597814335787,1.884237485646032,1.124618247235733
181,33,42.346359999999997,-71.090950000000007,0,2.400000000000000,Boylston Street II,8520,2.400000075107781,2.402065125310682,1.433686725559848
182,33,42.346359999999997,-71.090950000000007,0,5.100000000000000,Park Drive I,8522,1.054215965638162,1.421153183603018,0.848223652576962
183,33,42.346359999999997,-71.090950000000007,0,6.520000000000000,Charlesgate I,8751,4.318342346249548,5.890622051400538,3.515852485178044
184,33,42.346359999999997,-71.090950000000007,0,9.919982310000000,Christian Science Plaza,8183,0.000013771650159,0.000018583932215,0.000011091929459
185,33,42.346359999999997,-71.090950000000007,0,10.869999999999999,Commonwealth Avenue Mall I,8527,1.506668047339263,2.033393972826281,1.213643175597658
186,33,42.346359999999997,-71.090950000000007,0,50.280000000000001,The Fenway I,8598,10.237037517145351,1.854563101375570,1.106906916110928
187,33,42.346359999999997,-71.090950000000007,0,70.920000000000002,Back Bay Fens,8504,24.681528531319291,32.916898651964019,19.646644941741876
188,35,42.271529999999998,-71.172650000000004,1,0.179112010000000,Oak Ridge,8145,0.179112111330859,0.241421722447030,0.144262852323804
189,35,42.271529999999998,-71.172650000000004,1,12.440000000000000,VFW Parkway I,8803,1.222265240832844,1.648077354983742,0.984817512154032
190,35,42.271529999999998,-71.172650000000004,1,15.327710300000000,Havey Beach,8236,2.950162666396617,3.943045213600093,2.356187933670634
191,36,42.331229999999998,-71.076960000000000,0,0.800774880000000,Eliot Burying Ground,8582,0.800774069630047,1.070686214580262,0.639196887864104
192,36,42.331229999999998,-71.076960000000000,0,2.670000000000000,Bynoe Park,8042,2.669998928011306,3.608734029877804,2.154404838332083
193,36,42.331229999999998,-71.076960000000000,0,2.810000000000000,Roxbury Heritage State Park I,8581,1.033014810576332,1.397078235983710,0.834052076493339
194,36,42.331229999999998,-71.076960000000000,0,3.043534610000000,Melnea Cass Boulevard I,8685,1.434746278634174,2.786361152364570,1.663450367440367
195,38,42.329450000000001,-71.035200000000003,0,4.402672910000000,M Street Beach,8200,3.213731981461040,4.335713609842657,2.588481952373880
196,38,42.329450000000001,-71.035200000000003,0,5.571016150000000,L Street Beach,8199,5.571015036767703,7.515830419416848,4.487056376048123
197,38,42.329450000000001,-71.035200000000003,0,16.850000000000001,Columbia Road/Day Boulevard,8814,1.429980060525659,1.929082387076903,1.151689293373807
198,38,42.329450000000001,-71.035200000000003,0,24.732077870000001,Carson Beach,8768,2.449472166509056,3.292743584624543,1.965814191058807
199,39,42.352260000000001,-71.075990000000004,0,0.190000000000000,BPL Courtyard,8436,0.190000136395415,0.251937280799205,0.150356343581474
